hour_slot,flights_per_hour
2025-10-10 17:00:00,3000
2025-10-10 18:00:00,7000
2025-10-10 19:00:00,4600
2025-10-10 20:00:00,3200
2025-10-10 21:00:00,600
2025-10-11 21:00:00,1000
2025-10-11 22:00:00,11000
2025-10-11 23:00:00,10000
2025-10-12 16:00:00,9200
2025-10-12 17:00:00,11000
2025-10-12 18:00:00,10800
2025-10-12 19:00:00,11400
2025-10-12 20:00:00,4200
2025-10-13 21:00:00,2400
2025-10-15 16:00:00,11200
2025-10-15 17:00:00,8800
2025-10-15 18:00:00,4000
2025-10-15 19:00:00,8200
2025-10-15 20:00:00,7600
2025-10-15 21:00:00,1989
2025-10-16 16:00:00,10400
2025-10-16 17:00:00,9600
2025-10-19 18:00:00,6800
2025-10-19 19:00:00,7147
2025-10-19 20:00:00,1000
2025-10-27 17:00:00,800
2025-10-27 18:00:00,1200
2025-10-27 19:00:00,1200
2025-10-27 20:00:00,1200
2025-10-27 21:00:00,1200
2025-10-27 22:00:00,400
2025-11-09 19:00:00,7252
2025-11-09 20:00:00,173275
2025-11-09 21:00:00,236915
2025-11-09 22:00:00,277155
2025-11-09 23:00:00,160333
2025-11-10 10:00:00,6018
2025-11-10 11:00:00,34881
2025-11-10 12:00:00,33987
2025-11-10 13:00:00,34824
2025-11-10 14:00:00,33918
2025-11-10 15:00:00,33311
2025-11-10 16:00:00,34073
2025-11-10 17:00:00,35131
2025-11-10 18:00:00,38006
2025-11-10 19:00:00,43677
2025-11-10 20:00:00,49696
2025-11-10 21:00:00,26116
